Date,Close,Volume
2025-07-30,171.9989471435547,1817808
2025-07-31,172.89300537109375,1918660
2025-08-01,170.12335205078125,1725512
2025-08-04,169.9970245361328,1178894
2025-08-05,172.3390655517578,1356835
2025-08-06,174.03001403808594,1244593
2025-08-07,173.1068115234375,1188987
2025-08-08,171.62966918945312,1239266
2025-08-11,173.5635528564453,1129524
2025-08-12,173.75790405273438,1888777
2025-08-13,164.3508758544922,4412606
2025-08-14,162.49473571777344,2943953
2025-08-15,163.4276580810547,3133677
2025-08-18,165.3907012939453,1664555
2025-08-19,166.2264404296875,2161338
2025-08-20,170.1243133544922,3195377
2025-08-21,171.50582885742188,2274857
2025-08-22,170.55850219726562,3023915
2025-08-25,168.05203247070312,2121993
2025-08-26,166.84814453125,2527097
2025-08-27,167.58824157714844,1134394
2025-08-28,171.06178283691406,1558387
2025-08-29,168.05203247070312,2230286
2025-09-01,166.7198486328125,1183192
2025-09-02,168.20993041992188,1294405
2025-09-03,162.3779296875,2536459
2025-09-04,165.7823944091797,1657956
2025-09-05,165.92054748535156,1407522
2025-09-08,166.01922607421875,1221001
2025-09-09,163.8877410888672,1967975
2025-09-10,166.3152618408203,1448532
2025-09-11,165.55543518066406,1257595
2025-09-12,167.7263946533203,1236459
2025-09-15,166.67050170898438,1867293
2025-09-16,166.1080322265625,1390961
2025-09-17,165.93040466308594,1613610
2025-09-18,162.1608428955078,2379309
2025-09-19,163.97654724121094,4607592
2025-09-22,163.3844757080078,1272323
2025-09-23,164.66729736328125,1375851
2025-09-24,162.3582000732422,2009907
2025-09-25,161.57862854003906,1607175
2025-09-26,162.70358276367188,1546068
2025-09-29,166.2067108154297,1809099
2025-09-30,164.6968994140625,1882707
2025-10-01,164.85479736328125,1720182
2025-10-02,167.578369140625,1995544
2025-10-03,168.1309814453125,1492004
2025-10-06,167.71652221679688,793906
2025-10-07,167.10470581054688,1359513
2025-10-08,167.1836395263672,1242369
2025-10-09,165.10150146484375,2169123
2025-10-10,166.11790466308594,1481754
2025-10-13,163.00949096679688,1294090
2025-10-14,162.2299041748047,1900819
2025-10-15,164.5784912109375,1632380
2025-10-16,165.88107299804688,2206440
2025-10-17,166.09817504882812,2260083
2025-10-20,170.42034912109375,2145323
2025-10-21,171.2689971923828,2192193
2025-10-22,171.85121154785156,1801032
2025-10-23,169.3940887451172,1428388
2025-10-24,168.12110900878906,1358579
2025-10-27,169.40394592285156,1080850
2025-10-28,171.72293090820312,1815291
2025-10-29,168.1507110595703,1604192
2025-10-30,168.27899169921875,1330626
2025-10-31,169.3743438720703,2043532
2025-11-03,173.2228546142578,1974438
2025-11-04,171.81173706054688,1571243
2025-11-05,174.0221710205078,2254770
2025-11-06,176.21287536621094,2040104
2025-11-07,173.58798217773438,2471564
2025-11-10,172.61105346679688,1888039
2025-11-11,161.24310302734375,4465748
2025-11-12,156.2893829345703,4397031
2025-11-13,158.0754852294922,3300653
2025-11-14,155.2236328125,2261514
2025-11-17,153.73355102539062,1715618
2025-11-18,151.19749450683594,2442731
2025-11-19,149.30284118652344,1878675
2025-11-20,150.9803924560547,2008837
2025-11-21,151.0395965576172,2856997
2025-11-24,152.91452026367188,5520380
2025-11-25,151.11854553222656,1690417
2025-11-26,151.4935302734375,1673387
2025-11-27,152.2040252685547,938539
2025-11-28,150.49685668945312,1783139
2025-12-01,149.6383514404297,1103917
2025-12-02,150.23043823242188,1674717
2025-12-03,150.04293823242188,1590886
2025-12-04,151.19749450683594,1787486
2025-12-05,152.17442321777344,1447667
2025-12-08,153.3684539794922,1410145
2025-12-09,152.4901885986328,1592640
2025-12-10,151.78958129882812,1296242
2025-12-11,150.7238311767578,2198502
2025-12-12,153.9013214111328,1728685
2025-12-15,153.03294372558594,1048391
2025-12-16,153.082275390625,1721004
2025-12-17,151.82904052734375,1835147
2025-12-18,152.95399475097656,2309599
2025-12-19,155.66769409179688,5814764
2025-12-22,156.17095947265625,1396340
2025-12-23,159.59515380859375,1520620
2025-12-24,159.2596435546875,653329
2025-12-29,158.3715362548828,1091076
2025-12-30,159.1609649658203,995378
2025-12-31,158.45046997070312,1008187
2026-01-02,158.9932098388672,836803
2026-01-05,158.46034240722656,959469
2026-01-06,153.79278564453125,2312277
2026-01-07,151.2073516845703,1621283
2026-01-08,151.31590270996094,1943053
2026-01-09,151.19749450683594,1599030
2026-01-12,152.046142578125,1085692
2026-01-13,152.77638244628906,1324215
2026-01-14,150.8619842529297,1923233
2026-01-15,151.4738006591797,1715980
2026-01-16,152.2632293701172,1875372
2026-01-19,151.23695373535156,730767
2026-01-20,148.49365234375,1497339
2026-01-21,145.2766876220703,1700540
2026-01-22,148.6219482421875,1456461
2026-01-23,147.50685119628906,1643718
2026-01-27,148.08908081054688,1710185
2026-01-28,148.375244140625,1262604
2026-01-29,146.6976776123047,1426496
2026-01-30,147.38844299316406,2317789
2026-02-02,149.48045349121094,2132349
2026-02-03,151.05934143066406,1543100
2026-02-04,154.98680114746094,2256822
2026-02-05,157.177490234375,1949204
2026-02-06,156.8123779296875,2236616
2026-02-09,157.77944946289062,1612192
2026-02-10,156.64462280273438,1686152
2026-02-11,167.32179260253906,3873903
2026-02-12,176.38063049316406,4204766
2026-02-13,173.8741455078125,3045230
2026-02-16,175.92669677734375,2189938
2026-02-17,175.67999267578125,1548864
2026-02-18,176.8800048828125,2647425
2026-02-19,178.19000244140625,3099517
2026-02-20,179.6699981689453,3926899
2026-02-23,178.52999877929688,2107213
2026-02-24,178.5,1884501
2026-02-25,178.67999267578125,2460011
2026-02-26,177.27000427246094,2003485
2026-02-27,174.6199951171875,4498962
2026-03-02,173.49000549316406,1904748
2026-03-03,173.97999572753906,1751134
2026-03-04,171.91000366210938,1632287
2026-03-05,172.66000366210938,2262330
2026-03-06,172.47000122070312,1710849
2026-03-09,169.4499969482422,3346739
2026-03-10,171.8000030517578,2353127
2026-03-11,172.6699981689453,1773721
2026-03-12,171.60000610351562,2745172
2026-03-13,173.75999450683594,1646176
2026-03-16,175.52999877929688,1635206
2026-03-17,176.1199951171875,1709172
2026-03-18,177.08999633789062,1821115
2026-03-19,177.36000061035156,2692338
2026-03-20,175.63999938964844,5680590
2026-03-23,174.25,1889177
2026-03-24,171.1199951171875,1939214
2026-03-25,172.1699981689453,1492449
2026-03-26,173.17999267578125,1412725
2026-03-27,173.6300048828125,1482825
2026-03-30,168.72000122070312,1592667
2026-03-31,167.6999969482422,2563551
2026-04-01,171.89999389648438,2275008
