F2.1 CAPITAL MARKET YIELDS – GOVERNMENT BONDS
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
Description,"Yields on Australian government bonds, interpolated, 2 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum


Source,RBA,RBA,RBA,RBA,RBA
Publication date,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026
Series ID,FCMYGBAG2,FCMYGBAG3,FCMYGBAG5,FCMYGBAG10,FCMYGBAGI
30-Jun-2024,4.011,3.939,3.976,4.242,1.870
31-Jul-2024,4.112,4.033,4.055,4.326,1.897
31-Aug-2024,3.645,3.575,3.640,3.976,1.654
30-Sep-2024,3.568,3.495,3.559,3.922,1.653
31-Oct-2024,3.843,3.805,3.892,4.267,1.931
30-Nov-2024,4.072,4.074,4.168,4.544,2.109
31-Dec-2024,3.869,3.850,3.934,4.313,1.985
31-Jan-2025,3.888,3.908,4.038,4.481,2.142
28-Feb-2025,3.806,3.823,3.963,4.423,2.104
31-Mar-2025,3.748,3.762,3.905,4.421,2.214
30-Apr-2025,3.333,3.370,3.600,4.267,2.232
31-May-2025,3.406,3.451,3.668,4.350,2.246
30-Jun-2025,3.274,3.318,3.523,4.208,2.128
31-Jul-2025,3.339,3.388,3.604,4.291,2.157
31-Aug-2025,3.332,3.375,3.591,4.275,2.053
30-Sep-2025,3.397,3.451,3.654,4.298,2.029
31-Oct-2025,3.437,3.469,3.646,4.234,1.921
30-Nov-2025,3.669,3.732,3.904,4.416,2.096
31-Dec-2025,4.008,4.089,4.254,4.719,2.395
31-Jan-2026,4.080,4.149,4.301,4.750,2.422
28-Feb-2026,4.230,4.267,4.373,4.758,2.451
31-Mar-2026,4.536,4.556,4.621,4.926,2.634































































































































